front,back,front_color,back_color,attemps,correct
What physical resources does an operating system manage?,<ul><li>Processor (schedules processes)</li><li>Memory (allocates memory to processes)</li><li>I/O Devices (allocates to processes)</li><li>Secondary Storage (allocates space for files)</li><li>Cache</li><li>Power Supply / Battery Management</li></ul>,,,1,1
What are the types of translators?,<ul><li>Interpreter</li><li>Compiler</li><li>Assembler</li></ul>,,,1,1
What is the role of an operating system?,The role of an operating system is to hide the complexities of the hardware from the user.,,,1,1
Explain the difference between system software and application software.,<ul><li>System software provides to the user a layer of abstraction from the hardware.</li><li>Application software is used to carry out user-oriented tasks.</li></ul>,,,1,0
What are utility programs used for? Give examples.,Utility programs are used to perform a management/maintenance function of a computer.<br>Some examples include:<br><ul><li>Disk defragmentation software.</li><li>Virus checking software.</li><li>Encryption software.</li><li>Compression software.</li><li>Backup software.</li></ul>,,,1,1
What are the advantages of using assembly language code instead of machine code?,<ul><li>It is easier for a human to understand it.</li><li>It uses mnemonics which make it faster to type out/code.</li><li>It reduces the chance of making a mistake while coding.</li><li>It allows you to add comments to explain code.</li><li>Has labels that can be jumped to instead of using raw addresses.</li><li>Easier to maintain and debug.</li></ul>,,,1,1
Describe the functions of an operating system.,<ul><li>The role of an operating system is to hide the complexities of the hardware from the user.</li><li>The operating system will schedule processes to be executed on the processor.</li><li>The operating system will allocate space in memory for processes to use.</li><li>The operating system will allocate I/O devices to processes.</li><li>The operating system will allocate space in secondary storage to store files in.</li><li>The operating system will handle interrupts using an appropriate interrupt service routine (ISR) when they occur.</li><li>The operating system will manage the power supply or battery controller.</li><li>The operating system may be responsible for automatic updates of the system software.</li></ul>,,,1,0
Explain the difference between hardware and software.,<ul><li>Hardware is the physical components that make up a computer system.</li><li>Software is the code that is *executed* on top of / makes use of the hardware.</li></ul>,,,1,0
What are libraries and why are they used?,"Libraries are collections of routines that can be used in a program.<br>They are used because:<br><ul><li>They are *reliable*, well tested and secure.</li><li>They save time for programmers who will not have to write the code that libraries provide.</li><li>They can allow programmers to use operations that they would not know how to make for themselves.</li></ul>",,,1,0
What are the different types of system software?,<ul><li>Operating systems.</li><li>Utility programs.</li><li>Program translators.</li><li>Libraries.</li></ul>,,,1,0
